id,sentence,origin
000001,只愿君心似我心，定不负相思意                                              ,出自宋朝李之仪的《卜算子·我住长江头》                                                                                 
000002,花自飘零水自流一种相思，两处闲愁                                            ,出自宋朝李清照的《一剪梅·红藕香残玉簟秋》                                                                               
000003,世间无限丹青手，一片伤心画不成                                             ,出自唐朝高蟾的《金陵晚望》                                                                                       
000004,愿得一心人，白头不相离                                                 ,出自汉朝卓文君的《白头吟》                                                                                       
000005,自在飞花轻似梦，无边丝雨细如愁                                             ,出自宋朝秦观的《浣溪沙·漠漠轻寒上小楼》                                                                                
000006,山有木兮木有枝，心悦君兮君不知                                             ,出自先秦佚名的《越人歌》                                                                                        
000007,采得百花成蜜后，为谁辛苦为谁甜                                             ,出自唐朝罗隐的《蜂》                                                                                          
000008,枯藤老树昏鸦，小桥流水人家，古道西风瘦马                                        ,出自元朝马致远的《天净沙·秋思》                                                                                    
000009,人生若只如初见，何事秋风悲画扇                                             ,出自清朝纳兰性德的《木兰花·拟古决绝词柬友》                                                                              
000010,美人卷珠帘，深坐颦蛾眉                                                 ,出自唐朝李白的《怨情》                                                                                         
000011,日日思君不见君，共饮长江水                                               ,出自宋朝李之仪的《卜算子·我住长江头》                                                                                 
000012,空山新雨后，天气晚来秋                                                 ,出自唐朝王维的《山居秋暝》                                                                                       
000013,莫愁前路无知己，天下谁人不识君                                             ,出自唐朝高适的《别董大二首》                                                                                      
000014,滚滚长江东逝水，浪花淘尽英雄                                              ,出自明朝杨慎的《临江仙·滚滚长江东逝水》                                                                                
000015,林花谢了春红，太匆匆无奈朝来寒雨，晚来风                                        ,出自唐朝李煜的《相见欢·林花谢了春红》                                                                                 
000016,取次花丛懒回顾，半缘修道半缘君                                             ,出自唐朝元稹的《离思五首·其四》                                                                                    
000017,近水楼台先得月，向阳花木易为春                                             ,出自清朝苏麟的《断句》                                                                                         
000018,平生不会相思，才会相思，便害相思                                            ,出自唐朝徐再思的《折桂令·春情》                                                                                    
000019,江碧鸟逾白，山青花欲燃                                                 ,出自唐朝杜甫的《绝句二首》                                                                                       
000020,两情若是久长时，又岂在朝朝暮暮                                             ,出自宋朝秦观的《鹊桥仙·纤云弄巧》                                                                                   
000021,十年生死两茫茫，不思量，自难忘                                             ,出自宋朝苏轼的《江城子·乙卯正月二十日夜记梦》                                                                             
000022,一骑红尘妃子笑，无人知是荔枝来                                             ,出自唐朝杜牧的《过华清宫绝句三首》                                                                                   
000023,春蚕到死丝方尽，蜡炬成灰泪始干                                             ,出自唐朝李商隐的《无题》                                                                                        
000024,青枫江上秋帆远，白帝城边古木疏                                             ,出自唐朝高适的《送李少府贬峡中王少府贬长沙》                                                                              
000025,海水梦悠悠，君愁我亦愁                                                 ,出自先秦佚名的《杂曲歌辞。西洲曲》                                                                                   
000026,执子之手，与子偕老                                                   ,出自先秦诗经的《击鼓》                                                                                         
000027,玲珑骰子安红豆，入骨相思知不知                                             ,出自唐朝温庭筠的《南歌子词二首/新添声杨柳枝词》                                                                            
000028,抽刀断水水更流，举杯消愁愁更愁                                             ,出自唐朝李白的《宣州谢脁楼饯别校书叔云》                                                                                
000029,若是前生未有缘，待重结、来生愿                                             ,出自宋朝乐婉的《卜算子·答施》                                                                                     
000030,人生自是有情痴，此恨不关风与月                                             ,出自宋朝欧阳修的《玉楼春·尊前拟把归期说》                                                                               
000031,问君能有几多愁恰似一江春水向东流                                            ,出自唐朝李煜的《虞美人·春花秋月何时了》                                                                                
000032,山无陵，江水为竭冬雷震震，夏雨雪天地合，乃敢与君绝                                   ,出自当代佚名的《上邪》                                                                                         
000033,远看山有色，近听水无声                                                 ,出自唐朝王维的《画》                                                                                          
000034,七八个星天外，两三点雨山前                                               ,出自宋朝辛弃疾的《西江月·夜行黄沙道中》                                                                                
000035,曾经沧海难为水，除却巫山不是云                                             ,出自唐朝元稹的《离思五首·其四》                                                                                    
000036,海上生明月，天涯共此时                                                 ,出自唐朝张九龄的《望月怀远/望月怀古》                                                                                 
000037,入我相思门，知我相思苦                                                 ,出自唐朝李白的《三五七言/秋风词》                                                                                   
000038,同是天涯沦落人，相逢何必曾相识                                             ,出自唐朝白居易的《琵琶行并序/琵琶引》                                                                                 
000039,落红不是无情物，化作春泥更护花                                             ,出自清朝龚自珍的《己亥杂诗·其五》                                                                                   
000040,思悠悠，恨悠悠，恨到归时方始休                                             ,出自唐朝白居易的《长相思·汴水流》                                                                                   
000041,怕相思，已相思，轮到相思没处辞，眉间露一丝                                       ,出自明朝俞彦的《长相思·折花枝》                                                                                    
000042,露从今夜白，月是故乡明                                                 ,出自唐朝杜甫的《月夜忆舍弟》                                                                                      
000043,花落花开自有时，总赖东君主                                               ,出自清朝严蕊的《卜算子·不是爱风尘》                                                                                  
000044,夜来幽梦忽还乡小轩窗正梳妆相顾无言，惟有泪千行                                     ,出自宋朝苏轼的《江城子·乙卯正月二十日夜记梦》                                                                             
000045,人到情多情转薄，而今真个悔多情                                             ,出自清朝纳兰性德的《山花子·风絮飘残已化萍》                                                                              
000046,但愿人长久，千里共婵娟                                                 ,出自宋朝苏轼的《水调歌头·明月几时有》                                                                                 
000047,此情可待成追忆只是当时已惘然                                              ,出自唐朝李商隐的《锦瑟》                                                                                        
000048,山重水复疑无路，柳暗花明又一村                                             ,出自宋朝陆游的《游山西村》                                                                                       
000049,身无彩凤双飞翼，心有灵犀一点通                                             ,出自唐朝李商隐的《无题·昨夜星辰昨夜风》                                                                                
000050,多情自古伤离别，更那堪冷落清秋节                                            ,出自宋朝柳永的《雨霖铃·寒蝉凄切》                                                                                   
000051,闻君有两意，故来相决绝                                                 ,出自汉朝卓文君的《白头吟》                                                                                       
000052,不积小流，无以成江海                                                  ,出自宋朝荀子的《劝学》                                                                                         
000053,借问江潮与海水，何似君情与妾心                                             ,出自唐朝白居易的《浪淘沙·借问江潮与海水》                                                                               
